stream,T_K,T_C,P_Pa,P_bar,molar_flow_molh,vapor_fraction,x_Propane,x_n-Butane
FEED,333.15,60.0,2000000.0,20.0,100000.0,0.0,0.3,0.7
V,289.9771,16.8271,300000.0,3.0,32274.2549,1.0,0.489024,0.510976
L,289.9771,16.8271,300000.0,3.0,67725.7451,0.0,0.209925,0.790075
