stream,T_K,T_C,P_Pa,P_bar,molar_flow_molh,vapor_fraction,x_Hydrogen,x_Methane,x_Benzene,x_Toluene
FEED,410.0,136.85,3447370.0,34.4737,100000.0,1.0,0.3,0.6,0.075,0.025
V,410.0,136.85,3447370.0,34.4737,0.0,0.0,0.015015,0.052113,0.567323,0.365549
L,410.0,136.85,3447370.0,34.4737,100000.0,1.0,0.3,0.6,0.075,0.025
